¿Quiénes eran Nadab y Abiú en la historia de la Parashá Sheminí?,Eran los hijos de Aarón que servían como sacerdotes.
¿Qué error cometieron Nadab y Abiú al acercarse al altar?,Ofrecieron un fuego extraño que Adonay no les había mandado.
¿De dónde debía venir el fuego para el incienso según las reglas de Dios?,Debía tomarse del fuego del altar de holocausto que Dios encendió.
¿Qué significa la palabra hebrea 'Kadosh'?,Significa apartado o algo que es especial para Dios.
"Para que un animal de la tierra sea limpio (Taor), ¿qué forma deben tener sus patas?",Debe tener la pezuña hendida o dividida en dos.
"Además de la pezuña hendida, ¿qué otra cosa debe hacer un animal terrestre para ser limpio?",El animal debe rumiar (masticar de nuevo el alimento).
¿La vaca es un animal limpio o inmundo?,Es un animal limpio porque tiene pezuña hendida y rumia.
¿Por qué el cerdo se considera un animal inmundo (Tamé)?,Porque tiene la pezuña dividida pero no rumia.
¿Qué dos características deben tener los peces para que podamos comerlos?,Deben tener aletas y escamas.
¿Es limpio comer camarones o pulpo según la Torá?,"No, porque no tienen aletas ni escamas."
¿Cuál es la regla principal para saber qué aves no debemos comer?,No debemos comer aves de rapiña o que comen animales muertos.
¿Qué tipo de insectos sí permitió Dios que Su pueblo comiera?,"Aquellos que tienen patas largas para saltar, como los saltamontes."
¿Qué significa la palabra hebrea 'Tamé'?,"Significa inmundo, impuro o que no es apto para el uso sagrado."
¿Por qué Dios nos pide que comamos solo animales limpios?,Porque Él es Santo y quiere que Su pueblo también sea santo.
¿A qué se compara nuestro cuerpo en las Escrituras?,Nuestro cuerpo es el Templo del Espíritu de Dios (Ruaj Hakodesh).
¿Qué aprendemos de la muerte de Nadab y Abiú sobre la obediencia?,Que debemos seguir las instrucciones de Dios exactamente como Él las dio.
¿Qué significa 'discernir' entre lo santo y lo profano?,Significa aprender a notar la diferencia entre lo que agrada a Dios y lo que no.
¿El conejo es un animal limpio según Levítico 11?,"No, porque aunque parece que rumia, no tiene pezuñas."
"Si un pez tiene aletas pero no tiene escamas, ¿podemos comerlo?","No, debe tener ambas cosas: aletas y escamas."
¿Qué representan los animales que se arrastran por el suelo?,Representan cosas bajas y están relacionados simbólicamente con la muerte.
¿Cuál es el propósito de las leyes de alimentación?,Formar un pueblo santo que sea diferente a las demás naciones.
¿Qué animal se menciona como ejemplo de algo que limpia la naturaleza pero no es comida?,El cerdo (actúa como una 'aspiradora' de la creación).
